      --------Part 1--------   --------Part 2--------
Day       Time   Rank  Score       Time   Rank  Score
 22   00:34:54   2768      0   03:00:36   1875      0
 21   03:29:31   8460      0   07:24:06   6832      0
 20   02:19:33   4166      0   02:20:39   3916      0
 19   09:07:11   3807      0   09:20:12   3615      0
 18       >24h  14784      0       >24h  14584      0
 17   00:45:15   3155      0   16:12:44  18199      0
 16   14:15:49  15957      0   14:38:09  14453      0
 15   00:34:30   2356      0   01:01:35   2009      0
 14   00:15:10   2065      0   00:34:52   1240      0
 13   03:45:36  13807      0   03:51:09  12877      0
 12   01:46:12   6915      0   06:55:53  14434      0
 11   02:03:33   8413      0   02:08:01   8273      0
 10   00:37:56   7278      0   00:51:40   6566      0
  9   00:16:37   3773      0   01:20:54   6449      0
  8   00:19:16   5524      0   01:33:29   4386      0
  7   00:09:08   3967      0   00:14:30   3399      0
  6   00:25:59   7791      0   00:26:23   3007      0
  5   04:16:48  16874      0   04:34:22  15208      0
  4   03:17:27  13166      0   03:23:06  11710      0
  3   02:02:11  20637      0   02:50:21  15113      0
  2   00:07:01   4878      0   00:09:05   3552      0
  1   00:04:55   2825      0   00:10:42   2652      0
